WEIGHT,STATUS,FINALDEST,FOOTINGS,LEASE,LOCATION,REGION,PIERS,SECURED,TITLED,SECTIONS,PRICE,SQFT,BEDROOMS,WGTADJ,jstatus,jprice,jsqft,jbedroom,jlease,jfinaldest,jtitle,jsecured,jlocation,jfootings,jpiers
34.5786,2,1,4,2,2,3,1,1,2,2,110000,1900,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
34.5786,2,1,3,2,3,3,1,1,1,2,240000,2500,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
34.5786,2,1,5,2,3,3,1,1,2,2,130000,1700,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
34.5786,2,1,3,2,3,3,1,1,2,2,150000,1700,3,1.0616,0,0,0,0,0,0,0,0,0,0,0
34.5786,2,1,4,2,3,3,1,1,2,2,190000,2500,3,1.0616,0,0,0,0,0,0,0,0,0,0,0
34.5786,2,1,3,2,3,3,1,3,1,2,130000,1900,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
34.5786,2,1,5,2,2,3,1,1,2,2,87000,1600,3,1.0616,1,1,1,1,1,1,0,1,1,1,1
34.5786,2,1,3,2,3,3,1,1,1,2,190000,2500,3,1.0616,0,0,0,0,0,0,0,0,0,0,0
34.5786,2,1,3,2,3,3,1,2,2,2,150000,2500,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
34.5786,2,1,4,2,2,3,1,1,1,2,190000,2500,3,1.0616,0,0,0,0,0,0,0,0,0,0,0
7.8727,2,1,3,2,3,2,1,1,2,2,160000,1400,1,1.0616,1,1,1,1,1,1,1,1,1,1,1
34.5786,2,1,1,2,3,3,0,0,2,2,190000,2500,3,1.0616,0,0,0,0,0,0,0,1,0,0,1
9.2895,2,1,1,2,3,4,0,0,1,2,220000,1400,1,1.0616,1,1,1,1,1,1,1,1,1,1,1
9.2895,1,1,1,2,3,4,0,0,2,2,180000,1200,1,1.0616,1,1,1,1,1,1,1,1,1,1,1
9.2895,2,1,1,2,3,4,0,0,1,2,220000,1100,1,1.0616,1,1,1,1,1,1,1,1,1,1,1
5.725,2,1,1,2,1,1,0,0,2,2,150000,1700,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
5.725,2,1,1,2,3,1,0,0,1,2,120000,1600,1,1.0616,1,1,1,1,1,1,1,1,1,1,1
5.725,2,1,1,2,1,1,0,0,1,2,140000,1700,1,1.0616,1,1,1,1,0,0,1,1,0,0,1
5.725,1,1,2,2,1,1,0,0,2,2,200000,1700,1,1.0616,1,1,1,1,1,1,1,1,1,1,1
5.725,1,1,1,2,1,1,0,0,1,2,120000,990,1,1.0616,1,1,1,1,1,1,1,1,1,1,1
5.725,1,1,1,2,2,1,0,0,2,2,280000,1500,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
5.725,1,1,1,2,1,1,0,0,2,2,130000,1600,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
34.5786,2,1,2,2,2,3,0,0,1,2,170000,2000,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
9.2895,2,1,2,2,1,4,0,0,1,2,150000,1700,3,1.0616,0,0,0,0,0,0,0,1,0,0,1
7.8727,2,1,2,2,3,2,0,0,1,2,110000,1600,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
34.5786,2,1,2,2,2,3,0,0,2,2,210000,2500,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
7.8727,1,1,2,2,1,2,0,0,2,2,160000,2000,3,1.0616,0,0,0,0,0,0,0,1,0,0,1
7.8727,2,1,1,2,3,2,0,0,2,2,120000,2000,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
9.2895,2,1,1,2,2,4,0,0,2,2,140000,1600,3,1.0616,0,0,0,0,0,0,0,1,0,0,1
9.2895,2,1,2,2,2,4,0,0,2,2,230000,2200,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
5.725,2,1,1,2,1,1,0,0,2,2,110000,990,1,1.0616,0,0,0,0,0,0,0,1,0,0,1
5.725,1,1,1,2,1,1,0,0,2,2,130000,1200,3,1.0616,0,0,0,0,0,0,0,1,0,0,1
5.725,2,1,1,2,1,1,0,0,1,2,150000,1700,3,1.0616,0,0,0,0,0,0,0,1,0,0,1
5.725,2,1,1,2,3,1,0,0,1,2,100000,1200,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
5.725,2,1,1,2,2,1,0,0,2,2,120000,1600,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
5.725,2,1,1,2,3,1,0,0,2,2,85000,1300,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
5.725,2,1,1,2,1,1,0,0,2,2,140000,1600,3,1.0616,0,0,0,0,0,0,0,1,0,0,1
34.5786,2,1,2,2,3,3,0,0,1,2,110000,1600,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
9.2895,2,1,1,2,3,4,0,0,2,2,96000,1200,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
5.725,2,1,2,2,3,1,0,0,1,2,85000,990,1,1.0616,1,1,1,1,1,1,1,1,1,1,1
5.725,2,1,2,2,3,1,0,0,2,2,170000,1700,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
34.5786,2,1,2,2,1,3,0,0,3,2,190000,2500,3,1.0616,0,0,0,0,0,0,0,1,0,0,1
7.8727,2,1,1,2,2,2,0,0,2,2,160000,1800,3,1.0616,1,0,1,1,1,1,0,1,1,0,1
7.8727,2,1,1,2,1,2,0,0,2,2,130000,1500,3,1.0616,1,1,1,1,1,1,1,1,1,1,1
70.25,2,1,5,2,2,3,1,1,2,1,53000,900,1,0.9875,1,1,1,1,1,1,1,1,1,1,1
70.25,2,1,5,2,1,3,1,1,2,1,85000,1300,1,0.9875,1,1,1,1,1,1,1,1,1,1,1
