LOCATION,REGION,PRICE,SQFT,WGTADJ
3,2,70000,1100,0.9875
1,2,62000,840,0.9875
2,4,110000,1200,0.9875
2,2,84000,1100,0.9875
2,4,75000,900,0.9875
1,1,86000,810,0.9875
1,2,86000,1100,0.9875
3,3,77000,920,0.9875
3,3,92000,1200,0.9875
2,3,84000,1100,0.9875
3,3,99000,1200,0.9875
3,3,72000,840,0.9875
3,3,92000,1200,0.9875
3,3,66000,840,0.9875
1,3,75000,920,0.9875
3,3,110000,1200,0.9875
2,3,96000,1300,0.9875
2,3,72000,840,0.9875
1,2,56000,840,0.9875
1,4,84000,1100,0.9875
3,4,78000,920,0.9875
1,1,97000,1200,0.9875
1,1,150000,630,0.9875
1,1,92000,1200,0.9875
1,2,75000,1200,0.9875
2,2,84000,1100,0.9875
2,3,150000,2500,1.0442
3,3,160000,1800,1.0442
3,4,160000,1700,1.0442
4,5,210000,2800,1.0442
3,5,250000,2400,1.0442
1,4,120000,1400,1.0442
3,4,130000,1300,1.0442
2,4,140000,1300,1.0442
1,4,220000,1200,1.0442
1,4,150000,1500,1.0442
3,4,150000,1600,1.0442
1,4,130000,1200,1.0442
3,4,190000,1600,1.0442
2,4,260000,1100,1.0442
3,4,220000,1600,1.0442
3,4,96000,2000,1.0442
1,4,180000,1400,1.0442
1,4,130000,1100,1.0442
3,3,110000,1800,1.0442
1,4,130000,1200,1.0442
1,4,150000,1500,1.0442
2,5,190000,2600,1.0442
1,4,300000,1600,1.0442
1,4,150000,1500,1.0442
1,4,160000,1600,1.0442
1,4,300000,1600,1.0442
1,4,96000,910,1.0442
1,4,170000,1800,1.0442
3,4,96000,910,1.0442
2,4,96000,910,1.0442
1,4,220000,1200,1.0442
1,4,140000,1400,1.0442
1,4,170000,1800,1.0442
3,4,300000,1800,1.0442
3,3,120000,1100,1.0442
2,3,160000,1900,1.0442
3,3,170000,1800,1.0442
3,3,130000,1500,1.0442
3,3,210000,2500,1.0442
1,3,150000,1100,1.0442
3,3,180000,2000,1.0442
2,3,150000,1500,1.0442
2,3,140000,1900,1.0442
2,3,160000,1700,1.0442
1,4,140000,1200,1.0442
1,4,140000,1400,1.0442
2,2,160000,1800,1.0442
2,2,170000,1900,1.0442
1,2,200000,2400,1.0442
2,2,130000,1100,1.0442
1,2,150000,1600,1.0442
1,2,130000,1100,1.0442
1,2,150000,1500,1.0442
1,2,150000,1500,1.0442
1,2,140000,1300,1.0442
3,3,180000,2000,1.0442
3,3,130000,1600,1.0442
2,3,100000,2000,1.0442
3,3,170000,1900,1.0442
3,3,170000,2500,1.0442
1,2,150000,1600,1.0442
1,2,89000,1100,1.0442
3,2,120000,1800,1.0442
1,2,150000,1600,1.0442
1,2,250000,2400,1.0442
2,2,140000,1800,1.0442
1,2,150000,1600,1.0442
1,2,160000,1600,1.0442
1,2,120000,1800,1.0442
3,3,150000,1600,1.0442
3,3,150000,1900,1.0442
3,3,150000,2500,1.0442
2,3,190000,2100,1.0442
1,2,140000,1700,1.0442
3,2,110000,1300,1.0442
2,2,150000,2000,1.0442
3,2,150000,1900,1.0442
3,4,180000,2000,1.0442
3,4,130000,1200,1.0442
3,2,140000,1300,1.0442
1,2,150000,1700,1.0442
2,2,250000,2400,1.0442
2,4,96000,1500,1.0442
2,4,140000,2000,1.0442
3,1,130000,1300,1.0442
1,1,150000,1600,1.0442
2,3,160000,1900,1.0442
3,3,120000,1900,1.0442
3,2,170000,2400,1.0442
1,2,89000,1300,1.0442
2,3,240000,1900,1.0442
2,4,96000,2000,1.0442
3,4,180000,1700,1.0442
2,4,96000,1800,1.0442
2,4,160000,1800,1.0442
2,4,110000,1800,1.0442
3,4,120000,2000,1.0442
2,4,170000,1800,1.0442
2,4,170000,1900,1.0442
3,1,96000,1700,1.0442
1,1,150000,1700,1.0442
3,1,130000,1900,1.0442
3,1,85000,990,1.0442
1,1,280000,1700,1.0442
1,1,160000,1900,1.0442
3,1,85000,1700,1.0442
2,3,130000,1600,1.0442
3,3,120000,1900,1.0442
3,3,170000,1900,1.0442
3,3,130000,1600,1.0442
3,3,120000,1600,1.0442
2,3,140000,1700,1.0442
2,3,200000,2500,1.0442
3,3,130000,2500,1.0442
2,3,100000,1600,1.0442
3,3,170000,1900,1.0442
3,3,160000,1700,1.0442
3,3,150000,1500,1.0442
2,3,190000,2300,1.0442
3,3,180000,2100,1.0442
3,3,110000,1400,1.0442
3,3,190000,2500,1.0442
3,3,160000,1700,1.0442
3,3,110000,1100,1.0442
2,3,110000,1700,1.0442
3,3,120000,1900,1.0442
3,3,140000,1400,1.0442
2,3,170000,1700,1.0442
3,3,140000,1100,1.0442
2,3,150000,1600,1.0442
3,3,190000,2000,1.0442
3,3,190000,2000,1.0442
3,3,210000,2200,1.0442
3,4,140000,910,1.0442
3,5,230000,2600,1.0442
3,4,170000,1800,1.0442
1,4,140000,1400,1.0442
1,4,150000,1600,1.0442
3,4,200000,1400,1.0442
1,4,130000,1200,1.0442
4,4,160000,1700,1.0442
1,1,140000,1700,1.0442
3,1,130000,1500,1.0442
3,1,180000,1900,1.0442
1,1,280000,1600,1.0442
1,1,180000,1900,1.0442
3,1,150000,1600,1.0442
3,1,190000,1900,1.0442
2,3,140000,1100,1.0442
3,3,140000,1700,1.0442
1,2,170000,1900,1.0442
2,2,250000,2400,1.0442
3,2,160000,1500,1.0442
1,2,160000,1800,1.0442
1,2,150000,1600,1.0442
1,2,130000,1200,1.0442
1,2,170000,1800,1.0442
3,3,170000,1800,1.0442
3,4,220000,2200,1.0442
1,1,150000,1600,1.0442
3,1,150000,1600,1.0442
1,1,160000,1700,1.0442
1,1,150000,1600,1.0442
3,1,140000,1400,1.0442
1,1,160000,1700,1.0442
1,1,140000,1400,1.0442
1,1,160000,1900,1.0442
1,1,110000,1600,1.0442
1,1,140000,1300,1.0442
3,3,170000,1900,1.0442
3,2,250000,1600,1.0442
2,4,160000,1800,1.0442
1,1,280000,1900,1.0442
3,1,110000,1700,1.0442
2,1,100000,1600,1.0442
1,1,85000,1300,1.0442
1,1,190000,1300,1.0442
3,3,170000,1900,1.0442
3,3,87000,2100,1.0442
3,2,150000,1700,1.0442
2,2,140000,1600,1.0442
3,3,53000,980,0.9732
2,3,99000,1200,0.9732
1,4,150000,900,0.9732
1,4,63000,590,0.9732
1,4,92000,1100,0.9732
1,4,78000,1100,0.9732
1,4,92000,1100,0.9732
1,1,120000,630,0.9732
1,1,73000,750,0.9732
2,3,83000,920,0.9732
1,2,65000,1100,0.9732
1,2,90000,1100,0.9732
1,2,95000,960,0.9732
1,2,90000,1100,0.9732
1,2,100000,1300,0.9732
1,2,83000,920,0.9732
1,2,99000,1200,0.9732
3,2,89000,1200,0.9732
1,2,99000,1200,0.9732
3,3,99000,1200,0.9732
3,3,85000,960,0.9732
1,3,63000,1200,0.9732
1,2,78000,840,0.9732
1,2,56000,920,0.9732
1,2,81000,740,0.9732
1,2,120000,1200,0.9732
3,2,100000,1300,0.9732
3,2,120000,1300,0.9732
1,2,100000,1100,0.9732
2,4,92000,1100,0.9732
3,3,99000,1200,0.9732
1,2,90000,1100,0.9732
1,2,79000,1100,0.9732
1,2,85000,960,0.9732
1,3,53000,900,0.9732
1,1,55000,980,0.9732
1,1,150000,1100,0.9732
3,3,99000,1200,0.9732
3,3,78000,840,0.9732
3,3,86000,980,0.9732
3,3,59000,1100,0.9732
3,3,100000,1200,0.9732
1,4,79000,860,0.9732
1,1,150000,750,0.9732
1,2,84000,960,0.9732
3,2,99000,1200,0.9732
3,2,120000,1200,0.9732
1,1,94000,1100,0.9732
1,1,85000,960,0.9732
2,1,93000,960,0.9732
1,2,85000,960,0.9732
1,1,85000,950,0.9732
1,1,90000,1100,0.9732
1,1,90000,1100,0.9732
1,3,130000,1300,0.9732
1,2,88000,1300,0.9732
3,4,140000,1500,1.0465
2,4,210000,2100,1.0465
2,4,220000,1800,1.0465
3,4,96000,1300,1.0465
3,4,170000,1900,1.0465
2,4,130000,1600,1.0465
3,4,120000,1300,1.0465
1,4,150000,1500,1.0465
3,4,180000,1700,1.0465
1,4,180000,1700,1.0465
2,4,300000,1500,1.0465
3,5,290000,3100,1.0465
1,4,210000,1600,1.0465
3,4,190000,1700,1.0465
3,4,170000,1700,1.0465
3,3,140000,2500,1.0465
3,3,130000,1700,1.0465
3,3,150000,1600,1.0465
1,4,150000,910,1.0465
1,4,300000,1600,1.0465
1,4,120000,910,1.0465
1,4,300000,1600,1.0465
1,4,300000,1500,1.0465
1,4,150000,1600,1.0465
2,4,140000,1200,1.0465
1,4,96000,1800,1.0465
1,4,170000,1800,1.0465
1,4,200000,1200,1.0465
1,5,260000,2000,1.0465
1,4,180000,2000,1.0465
1,4,180000,2200,1.0465
3,4,180000,1500,1.0465
1,4,180000,2100,1.0465
1,3,150000,2000,1.0465
1,3,170000,1900,1.0465
